Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
JADESCAPE,"1,800,000",764.24,"2,355",Nov-25,SHUNFU ROAD,Resale,Strata,71,"25,352",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
8 HULLET,"2,300,000",796.54,"2,888",Nov-25,HULLET ROAD,Resale,Strata,74,"31,081",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
PARC KOMO,"1,108,000",656.6,"1,687",Nov-25,UPPER CHANGI ROAD NORTH,Resale,Strata,61,"18,164",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
PRINCIPAL GARDEN,"960,000",484.38,"1,982",Nov-25,PRINCE CHARLES CRESCENT,Resale,Strata,45,"21,333",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
HIGH PARK RESIDENCES,"962,000",592.02,"1,625",Nov-25,FERNVALE ROAD,Resale,Strata,55,"17,491",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,16 to 20
3 CUSCADEN,"2,650,000",764.24,"3,467",Nov-25,CUSCADEN WALK,Resale,Strata,71,"37,324",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
MEADOWS @ PEIRCE,"3,250,000","1,851.41","1,755",Nov-25,UPPER THOMSON ROAD,Resale,Strata,172,"18,895",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"1,390,000",656.6,"2,117",Nov-25,SILAT AVENUE,Resale,Strata,61,"22,787",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,21 to 25
RIPPLE BAY,"1,315,000",764.24,"1,721",Nov-25,PASIR RIS LINK,Resale,Strata,71,"18,521",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
AMBER RESIDENCES,"4,550,000","2,217.38","2,052",Nov-25,AMBER ROAD,Resale,Strata,206,"22,087",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
RIVERFRONT RESIDENCES,"2,800,000","1,485.43","1,885",Nov-25,HOUGANG AVENUE 7,Resale,Strata,138,"20,290",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
AMBER SKYE,"3,470,000","1,334.74","2,600",Nov-25,AMBER ROAD,Resale,Strata,124,"27,984",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
AVENUE SOUTH RESIDENCE,"1,800,000",688.9,"2,613",Nov-25,SILAT AVENUE,Resale,Strata,64,"28,125",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,51 to 55
CLOVER BY THE PARK,"3,400,000","1,765.3","1,926",Nov-25,BISHAN STREET 25,Resale,Strata,164,"20,732",-,Condominium,1,99 yrs lease commencing from 2007,20,Rest of Central Region,26 to 30
STIRLING RESIDENCES,"1,740,000",882.65,"1,971",Nov-25,STIRLING ROAD,Resale,Strata,82,"21,220",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
ELIAS GREEN,"1,410,000","1,528.49",922,Nov-25,ELIAS GREEN,Resale,Strata,142,"9,930",-,Condominium,1,99 yrs lease commencing from 1991,18,Outside Central Region,06 to 10
A TREASURE TROVE,"2,300,000","2,120.51","1,085",Nov-25,PUNGGOL WALK,Resale,Strata,197,"11,675",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
MERAWOODS,"2,095,000","1,345.5","1,557",Nov-25,HILLVIEW AVENUE,Resale,Strata,125,"16,760",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,01 to 05
BAYSHORE PARK,"1,750,000","1,291.68","1,355",Nov-25,BAYSHORE ROAD,Resale,Strata,120,"14,583",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,11 to 15
THE WATERINA,"2,775,000","1,539.25","1,803",Nov-25,LORONG 40 GEYLANG,Resale,Strata,143,"19,406",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THE MAYFAIR,"1,500,000","1,162.51","1,290",Nov-25,JURONG EAST STREET 32,Resale,Strata,108,"13,889",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,11 to 15
TWIN VEW,"823,000",484.38,"1,699",Nov-25,WEST COAST VALE,Resale,Strata,45,"18,289",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,26 to 30
PALM ISLES,"1,688,000","1,323.97","1,275",Nov-25,FLORA DRIVE,Resale,Strata,123,"13,724",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
MAYSPRINGS,"1,500,000","1,302.44","1,152",Nov-25,PETIR ROAD,Resale,Strata,121,"12,397",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,11 to 15
DUO RESIDENCES,"1,973,000",818.06,"2,412",Nov-25,FRASER STREET,Resale,Strata,76,"25,961",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,01 to 05
AFFINITY AT SERANGOON,"2,250,000","1,151.75","1,954",Nov-25,SERANGOON NORTH AVENUE 1,Resale,Strata,107,"21,028",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
ISUITES @ MARSHALL,"685,000",355.21,"1,928",Nov-25,MARSHALL ROAD,Resale,Strata,33,"20,758",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
FLO RESIDENCE,"1,430,000","1,011.82","1,413",Nov-25,PUNGGOL FIELD WALK,Resale,Strata,94,"15,213",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE GARDENS AT BISHAN,"2,150,000","1,205.57","1,783",Nov-25,SIN MING WALK,Resale,Strata,112,"19,196",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,01 to 05
SIMS EDGE,"1,180,000",871.88,"1,353",Nov-25,GEYLANG EAST AVENUE 2,Resale,Strata,81,"14,568",-,Apartment,1,Freehold,14,Rest of Central Region,11 to 15
SUMMER GREEN,"1,838,800","1,291.68","1,424",Nov-25,BOON TECK ROAD,Resale,Strata,120,"15,323",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
SEASIDE RESIDENCES,"1,800,000",785.77,"2,291",Nov-25,SIGLAP LINK,Resale,Strata,73,"24,658",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
URBAN VISTA,"1,170,000",796.54,"1,469",Nov-25,TANAH MERAH KECHIL LINK,Resale,Strata,74,"15,811",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,01 to 05
TEMBELINA,"1,880,000","1,076.4","1,747",Nov-25,TEMBELING ROAD,Resale,Strata,100,"18,800",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CANTIZ @ RAMBAI,"1,450,000",968.76,"1,497",Nov-25,RAMBAI ROAD,Resale,Strata,90,"16,111",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
REGENT PARK,"1,060,000",807.3,"1,313",Nov-25,JALAN LEMPENG,Resale,Strata,75,"14,133",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,01 to 05
THE BROOKS II,"1,115,000",710.42,"1,569",Nov-25,SPRINGSIDE GREEN,Resale,Strata,66,"16,894",-,Apartment,1,Freehold,26,Outside Central Region,01 to 05
WATERMARK ROBERTSON QUAY,"3,100,000","1,571.54","1,973",Nov-25,RODYK STREET,Resale,Strata,146,"21,233",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
GEM RESIDENCES,"1,928,000",947.23,"2,035",Nov-25,LORONG 5 TOA PAYOH,Resale,Strata,88,"21,909",-,Condominium,1,99 yrs lease commencing from 2015,12,Rest of Central Region,11 to 15
THE LAKEFRONT RESIDENCES,"1,365,000",775.01,"1,761",Nov-25,LAKESIDE DRIVE,Resale,Strata,72,"18,958",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,11 to 15
D'LEEDON,"3,248,000","1,560.78","2,081",Nov-25,LEEDON HEIGHTS,Resale,Strata,145,"22,400",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30
SIGNATURE PARK,"2,453,000","1,399.32","1,753",Nov-25,TOH TUCK ROAD,Resale,Strata,130,"18,869",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
THE METROPOLITAN CONDOMINIUM,"2,500,000","1,399.32","1,787",Nov-25,ALEXANDRA VIEW,Resale,Strata,130,"19,231",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"1,640,000",688.9,"2,381",Nov-25,COMMONWEALTH AVENUE,Resale,Strata,64,"25,625",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
HEDGES PARK CONDOMINIUM,"700,000",484.38,"1,445",Nov-25,FLORA DRIVE,Resale,Strata,45,"15,556",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
PARC VERA,"1,868,000","1,302.44","1,434",Nov-25,HOUGANG STREET 32,Resale,Strata,121,"15,438",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
HAIG 162,"715,000",365.98,"1,954",Nov-25,HAIG ROAD,Resale,Strata,34,"21,029",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
TWIN REGENCY,"2,375,000",979.52,"2,425",Nov-25,KIM TIAN ROAD,Resale,Strata,91,"26,099",-,Condominium,1,Freehold,03,Rest of Central Region,31 to 35
TANGERINE GROVE,"2,370,000","1,388.56","1,707",Nov-25,PAYA LEBAR CRESCENT,Resale,Strata,129,"18,372",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"2,131,138","1,108.69","1,922",Nov-25,HOUGANG AVENUE 7,Resale,Strata,103,"20,691",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
TWIN VEW,"2,930,000","1,517.72","1,931",Nov-25,WEST COAST VALE,Resale,Strata,141,"20,780",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,16 to 20
RESIDENCE TWENTY-TWO,"915,000",495.14,"1,848",Nov-25,TELOK KURAU ROAD,Resale,Strata,46,"19,891",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE METROPOLITAN CONDOMINIUM,"1,385,000",839.59,"1,650",Nov-25,ALEXANDRA VIEW,Resale,Strata,78,"17,756",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,06 to 10
WATERTOWN,"980,000",581.26,"1,686",Nov-25,PUNGGOL CENTRAL,Resale,Strata,54,"18,148",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
REZI 26,"1,100,000",667.37,"1,648",Nov-25,LORONG 26 GEYLANG,Resale,Strata,62,"17,742",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
PARVIS,"5,780,000","2,604.89","2,219",Nov-25,HOLLAND HILL,Resale,Strata,242,"23,884",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE SUNNY SPRING,"1,920,000","1,194.8","1,607",Nov-25,LORONG 40 GEYLANG,Resale,Strata,111,"17,297",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
COSTA DEL SOL,"2,600,000","1,754.53","1,482",Nov-25,BAYSHORE ROAD,Resale,Strata,163,"15,951",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
SEA ESTA,"2,200,000","1,786.82","1,231",Nov-25,PASIR RIS LINK,Resale,Strata,166,"13,253",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
PARC RIVIERA,"1,050,000",602.78,"1,742",Nov-25,WEST COAST VALE,Resale,Strata,56,"18,750",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
FOREST WOODS,"930,000",516.67,"1,800",Nov-25,LORONG LEW LIAN,Resale,Strata,48,"19,375",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
THOMSON IMPRESSIONS,"1,485,000",731.95,"2,029",Nov-25,LORONG PUNTONG,Resale,Strata,68,"21,838",-,Apartment,1,99 yrs lease commencing from 2015,20,Rest of Central Region,06 to 10
BLUE HORIZON,"1,670,000","1,151.75","1,450",Nov-25,WEST COAST CRESCENT,Resale,Strata,107,"15,607",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,11 to 15
CITY GATE,"3,383,000","1,668.42","2,028",Nov-25,BEACH ROAD,Resale,Strata,155,"21,826",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,26 to 30
CAMBRIDGE VILLAGE,"2,850,000","1,915.99","1,487",Nov-25,CAMBRIDGE ROAD,Resale,Strata,178,"16,011",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
TANAMERA CREST,"1,350,000","1,184.04","1,140",Nov-25,PARI DEDAP WALK,Resale,Strata,110,"12,273",-,Condominium,1,99 yrs lease commencing from 2000,16,Outside Central Region,01 to 05
RIVERSHIRE,"2,980,000","1,227.1","2,428",Nov-25,LEONIE HILL,Resale,Strata,114,"26,140",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
KATONG REGENCY,"1,138,000",570.49,"1,995",Nov-25,TANJONG KATONG ROAD,Resale,Strata,53,"21,472",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
PARK COLONIAL,"1,710,000",742.72,"2,302",Nov-25,WOODLEIGH LANE,Resale,Strata,69,"24,783",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15
THE JOVELL,"715,000",527.44,"1,356",Nov-25,FLORA DRIVE,Resale,Strata,49,"14,592",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
DE ROYALE,"2,388,888","1,259.39","1,897",Nov-25,JALAN RAMA RAMA,Resale,Strata,117,"20,418",-,Condominium,1,Freehold,12,Rest of Central Region,06 to 10
MODENA,"2,800,000","2,798.64","1,000",Nov-25,SIMEI STREET 4,Resale,Strata,260,"10,769",-,Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,11 to 15
GOODWOOD GARDENS,"4,100,000","1,776.06","2,308",Nov-25,BALMORAL CRESCENT,Resale,Strata,165,"24,848",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
RIVERFRONT RESIDENCES,"810,000",516.67,"1,568",Nov-25,HOUGANG AVENUE 7,Resale,Strata,48,"16,875",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
STRATFORD COURT,"2,180,000","2,034.4","1,072",Nov-25,BEDOK RIA CRESCENT,Resale,Strata,189,"11,534",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
AXIS @ SIGLAP,"1,560,000",861.12,"1,812",Nov-25,EAST COAST TERRACE,Resale,Strata,80,"19,500",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
LUCKY COURT,"2,190,000","1,302.44","1,681",Nov-25,LUCKY HEIGHTS,Resale,Strata,121,"18,099",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
PARC ESTA,"3,090,000","1,227.1","2,518",Nov-25,SIMS AVENUE,Resale,Strata,114,"27,105",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
CITY SQUARE RESIDENCES,"1,908,000",871.88,"2,188",Nov-25,KITCHENER LINK,Resale,Strata,81,"23,556",-,Condominium,1,Freehold,08,Rest of Central Region,16 to 20
THE TREELINE,"2,399,000","1,797.59","1,335",Nov-25,LORONG G TELOK KURAU,Resale,Strata,167,"14,365",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE BEACON,"2,550,000","1,485.43","1,717",Nov-25,CANTONMENT ROAD,Resale,Strata,138,"18,478",-,Apartment,1,99 yrs lease commencing from 2004,02,Rest of Central Region,11 to 15
MARINA ONE RESIDENCES,"3,300,000","1,582.31","2,086",Nov-25,MARINA WAY,Resale,Strata,147,"22,449",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,26 to 30
YONG SIAK VIEW,"2,050,000","1,076.4","1,904",Nov-25,YONG SIAK STREET,Resale,Strata,100,"20,500",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
HIGH PARK RESIDENCES,"1,235,000",721.19,"1,712",Nov-25,FERNVALE ROAD,Resale,Strata,67,"18,433",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,16 to 20
CAIRNHILL RESIDENCES,"2,300,000",904.18,"2,544",Nov-25,CAIRNHILL CIRCLE,Resale,Strata,84,"27,381",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
LA SUISSE,"3,200,000","2,109.74","1,517",Nov-25,SWISS VIEW,Resale,Strata,196,"16,327",-,Condominium,1,999 yrs lease commencing from 1878,11,Core Central Region,01 to 05
